room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12872631,23503972,Private room,,Bangbae-dong,0,,1,1,13,1,37.481728,126.9843,17:17.1
11931617,19082525,Private room,,Bangbae-dong,0,,1,1,18,3,37.497195,126.985941,17:11.0
8713317,45735597,Entire home/apt,,Jamsil-dong,13,4.5,2,1,39,1,37.507931,127.084733,17:07.3
3101438,12777123,Private room,,Bangi-dong,0,,2,1,75,1,37.511351,127.123284,17:02.8
10283769,23888613,Private room,,Donggyo-dong,5,4.5,2,1,25,2,37.560572,126.924746,16:55.7
10244343,49520508,Shared room,,Sinsa-dong,4,4,4,1,19,,37.520415,127.025761,16:32.0
8974931,21755096,Entire home/apt,,Bongnae-dong 2(i)-ga,15,4.5,3,1,64,2,37.555116,126.970782,16:23.6
8259445,43556738,Private room,,Hannam-dong,5,4.5,2,1,31,1,37.532115,127.000091,16:05.9
11504049,33472244,Shared room,,Nogosan-dong,0,,1,1,43,1,37.553595,126.939089,15:55.0
1095357,6018238,Entire home/apt,,Changcheon-dong,0,,3,3,30,1,37.559328,126.933259,15:33.9
8822616,40255821,Entire home/apt,,Sinsa-dong,10,5,6,3,52,1,37.595675,126.913576,15:02.7
12917235,5627970,Shared room,,Nonhyeon-dong,0,,2,1,39,1,37.510269,127.024161,14:47.9
11364132,53663557,Private room,,Seogyo-dong,1,,3,1,130,1,37.555536,126.918664,14:44.2
7171584,3465480,Entire home/apt,,Sillim-dong,1,,2,1,15,5,37.465497,126.937096,14:32.6
13133820,10666121,Entire home/apt,,Dangsan-dong 5(o)-ga,0,,3,1,67,1,37.534322,126.90046,14:21.3
5843557,25869728,Entire home/apt,,Yeoksam-dong,49,5,3,0,77,2,37.496692,127.030166,14:15.1
7279681,22837996,Private room,,Sindang-dong,29,4.5,2,1,29,1,37.560099,127.009754,14:06.5
534569,2623918,Entire home/apt,,Samcheong-dong,15,5,7,3,110,2,37.588744,126.980295,13:13.0
5701629,29560333,Entire home/apt,,Sillim-dong,1,,1,1,30,1,37.465628,126.939843,13:09.4
4496839,18927137,Private room,,Yeonnam-dong,5,5,3,1,76,1,37.56193,126.921799,13:05.1
817261,4236166,Shared room,,Itaewon-dong,27,5,3,1,29,1,37.535936,126.990399,13:02.1
5501063,23588187,Private room,,Yeonnam-dong,7,5,2,1,50,1,37.561626,126.922045,12:37.1
12962848,23690329,Entire home/apt,,Donggyo-dong,0,,4,0,72,1,37.556867,126.925266,12:33.6
8003647,26823761,Shared room,,Changsin-dong,2,,4,1,16,1,37.570554,127.018148,12:12.6
7524222,19067085,Entire home/apt,,Bongnae-dong 2(i)-ga,12,4.5,5,2,69,2,37.554949,126.969615,12:10.4
12813738,63488967,Shared room,,Daehyeon-dong,0,,4,1,19,2,37.558067,126.946104,12:07.2
